id,total,useful,frac_useful,criterion,input_snapshot
PSM00091408,49512,44568,0.9001454192922927,T(p) covers 980-850 hPa,IGRA cache 2025-09-05
FMM00091334,48573,43530,0.8961768883947873,T(p) covers 980-850 hPa,IGRA cache 2025-09-05
